URL,URL Status,Uses AcroForm,Uses XFA Form,Has Fillable Form,PDF Format Version,PDF Size (mb),Creator,Producer,Total PDF Pages,Rendered PDF Pages,Creation Date,Last Modified Date,Days between Created and Modified,Days Since Last Modified,Note
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMno4DqSwrPJ_d-XuLZ3r5Fqady_9piNxBrLLWYQkJ1DZlgYTHJVGC-msgtO-iwQDA,200,false,false,false,1.7,0.22,Quadient CXM AG~Inspire~14.0.293.1,,20,20,2023-08-10,2023-08-29,19,227,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMTo5-sv_Y0tzxVCg7qMN4PMV-PNmdy1w-sT8SLQz8DrDiK1u3ftJqjFw7pvmxt8tQ,200,false,false,false,1.7,0.27,Quadient CXM AG~Inspire~14.0.293.1,,36,36,2024-02-09,2024-02-29,20,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZAmtwjJ5EInCZzx3sDNwYZhaBFZ6MsnpLzKXuY4PVqBY70N9df0_ixYy7qgLTkBd5A,200,false,false,false,1.7,0.21,,iText® 5.1.3 ©2000-2011 1T3XT BVBA,20,20,2023-04-13,2023-05-01,18,347,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZKtn3bm36GeyHdgP4FqHAEwg49sXzR0Y6uwBpY0xJL0ii7FgglVeh6JpoGZICYqWew,200,false,false,false,1.7,0.06,PDFium,PDFium,8,8,2023-05-30,2023-05-30,0,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZIj9b5bg5lwZ5dfvw-aTzpP8HMF9Jtgq7uC9IpYqJlOEOQTQcWby4RBCDwT0U1bXWg,200,false,false,false,1.7,0.25,Quadient CXM AG~Inspire~14.0.293.1,,28,28,2023-08-08,2023-08-29,21,227,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMouNXQngcI4A3JZQDJBu7G4xGzx6p_x5eblBCvm_LGVKXRLpLD_xZ0dOZlYFTNgcA,200,false,false,false,1.7,0.06,Quadient CXM AG~Inspire~14.0.293.1,,8,8,2023-10-26,2023-11-30,35,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZGDDdMSN3jvqRjqlkcoMt736bePxUkdZd-v8WfudjvQCjdIxOgokQwl4o1-hZaZEXQ,200,false,false,false,1.7,0.31,Quadient CXM AG~Inspire~14.0.293.1,,40,40,2024-02-14,2024-02-29,15,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZHR0W0s_oU_SVeSpmyG4OHmgQ7BoBhpa7n1LzbqApfLU1DydzFfENvLXfmjnc7IV4w,200,false,false,false,1.7,0.21,,iText® 5.1.3 ©2000-2011 1T3XT BVBA,20,20,2023-04-13,2023-05-01,18,347,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZO7okbArLpdOyrPF2d9vjAuk6nF8FQ0w_ZQbq2ICCwyqmaE_lOFnmanvbW9h0ozxNg,200,false,false,false,1.7,0.09,Quadient CXM AG~Inspire~14.0.278.1,,16,16,2023-05-18,2023-05-30,12,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZEmkF6cU7nkYnqaIk6mGHd5IjmRXjpkTUdIpilsn8gqKzi-ctxDdwTXU4kFrgD-qgg,200,false,false,false,1.7,0.3,Quadient CXM AG~Inspire~14.0.293.1,,36,36,2023-08-15,2023-08-29,14,227,
